game_id,game_name
769,Groove Gunner
381,Guild Wars 2
381,Guild Wars 2
604,Guilty Gear
604,Guilty Gear
733,Guilty Gear -STRIVE-
733,Guilty Gear -STRIVE-
438,Guilty Gear Xrd -REVELATOR-
438,Guilty Gear Xrd -REVELATOR-
375,Guilty Gear Xrd -SIGN-
375,Guilty Gear Xrd -SIGN-
495,Guilty Gear Xrd REV 2
495,Guilty Gear Xrd REV 2
199,Guilty Gear XX
199,Guilty Gear XX
200,Guilty Gear XX #Reload
200,Guilty Gear XX #Reload
202,Guilty Gear XX Accent Core
202,Guilty Gear XX Accent Core
203,Guilty Gear XX Accent Core Plus
203,Guilty Gear XX Accent Core Plus
334,Guilty Gear XX Accent Core Plus R
334,Guilty Gear XX Accent Core Plus R
201,Guilty Gear XX Slash
201,Guilty Gear XX Slash
403,Guitar Hero 5
403,Guitar Hero 5
410,Guitar Hero III: Legends of Rock
410,Guitar Hero III: Legends of Rock
576,Guitar Hero: World Tour
576,Guitar Hero: World Tour
513,Gundam Versus
513,Gundam Versus
571,Guns of Boom
571,Guns of Boom
487,Gwent
487,Gwent
768,Gym Masters VR
768,Gym Masters VR
419,H1Z1
419,H1Z1
419,H1Z1
154,Halo 2
154,Halo 2
384,Halo 2 Anniversary
384,Halo 2 Anniversary
155,Halo 3
155,Halo 3
256,Halo 4
256,Halo 4
423,Halo 5: Guardians
423,Halo 5: Guardians
643,Halo Infinite
643,Halo Infinite
153,Halo: Combat Evolved
153,Halo: Combat Evolved
156,Halo: Reach
156,Halo: Reach
502,Hand of the Gods
502,Hand of the Gods
328,Hearthstone
328,Hearthstone
445,Hearthstone Battlegrounds
445,Hearthstone Battlegrounds
501,Heavy Metal Machines
501,Heavy Metal Machines
722,Heroes of Might and Magic III
722,Heroes of Might and Magic III
242,Heroes of Newerth
242,Heroes of Newerth
371,Heroes of the Storm
371,Heroes of the Storm
608,Hokuto no Ken
608,Hokuto no Ken
748,Hot Lap League
748,Hot Lap League
663,Hyper Scape
663,Hyper Scape
168,Hyper Street Fighter II
168,Hyper Street Fighter II
674,HYPERFIGHT
674,HYPERFIGHT
715,Identity V
715,Identity V
715,Identity V
860,Idol Showdown
860,Idol Showdown
494,Injustice 2
494,Injustice 2
260,Injustice: Gods Among Us
260,Injustice: Gods Among Us
665,Internet Chess Club
665,Internet Chess Club
532,iRacing.com
532,iRacing.com
681,Iron Harvest
681,Iron Harvest
543,Ironsight
543,Ironsight
544,Islands of Nyne
544,Islands of Nyne
783,Jak 3
783,Jak 3
783,Jak 3
781,Jak and Daxter: The Precursur Legacy
781,Jak and Daxter: The Precursur Legacy
782,Jak II
782,Jak II
813,JoJo's Bizarre Adventure: All Star Battle R
813,JoJo's Bizarre Adventure: All Star Battle R
675,JoJo's Bizarre Adventure: Heritage for the Future
675,JoJo's Bizarre Adventure: Heritage for the Future
664,Jstris
664,Jstris
363,Just Dance 2014
363,Just Dance 2014
774,Just Hoops
774,Just Hoops
720,"KARDS, The World War II Card Game"
720,"KARDS, The World War II Card Game"
720,"KARDS, The World War II Card Game"
483,KartRider
483,KartRider
612,Kill la Kill the Game: IF
612,Kill la Kill the Game: IF
333,Killer Instinct (2013)
333,Killer Instinct (2013)
442,King of Fighters 2002 Unlimited Match
442,King of Fighters 2002 Unlimited Match
602,King of Fighters 98
602,King of Fighters 98
427,King of Fighters XI
427,King of Fighters XI
241,King of Fighters XIII
241,King of Fighters XIII
441,King of Fighters XIV
441,King of Fighters XIV
761,King of Fighters XV
761,King of Fighters XV
709,Kirby Fighters 2
709,Kirby Fighters 2
735,Knockout City
735,Knockout City
461,Koihime Enbu
461,Koihime Enbu
164,League of Legends
164,League of Legends
164,League of Legends
734,League of Legends: Wild Rift
734,League of Legends: Wild Rift
424,Legend of Glory
424,Legend of Glory
644,Legends of Runeterra
644,Legends of Runeterra
745,Legion TD 2
745,Legion TD 2
751,Lemnis Gate
751,Lemnis Gate
560,Lethal League Blaze
560,Lethal League Blaze
650,Lichess
650,Lichess
348,Live for Speed
348,Live for Speed
766,Loco Dojo Unleashed
766,Loco Dojo Unleashed
472,Mad Skills Motocross 2
472,Mad Skills Motocross 2
472,Mad Skills Motocross 2
477,Madden NFL 06
477,Madden NFL 06
478,Madden NFL 07
478,Madden NFL 07
479,Madden NFL 08
479,Madden NFL 08
480,Madden NFL 09
480,Madden NFL 09
275,Madden NFL 13
275,Madden NFL 13
476,Madden NFL 16
476,Madden NFL 16
475,Madden NFL 17
475,Madden NFL 17
519,Madden NFL 18
519,Madden NFL 18
573,Madden NFL 19
573,Madden NFL 19
793,Madden NFL 20
793,Madden NFL 20
412,Madden NFL 2004
412,Madden NFL 2004
841,Madden NFL 21
841,Madden NFL 21
794,Madden NFL 22
794,Madden NFL 22
840,Madden NFL 23
840,Madden NFL 23
851,Madden NFL 24
851,Madden NFL 24
870,Madden NFL 25
870,Madden NFL 25
567,Magic: The Gathering Arena
567,Magic: The Gathering Arena
545,Magic: The Gathering Online
545,Magic: The Gathering Online
641,Magical Drop III
641,Magical Drop III
677,Maiden & Spell
677,Maiden & Spell
776,Marbles on Stream
776,Marbles on Stream
594,Mario Kart 8 Deluxe
594,Mario Kart 8 Deluxe
562,Mario Tennis Aces
562,Mario Tennis Aces
876,Marvel Rivals
876,Marvel Rivals
873,MARVEL SNAP
873,MARVEL SNAP
194,Marvel vs. Capcom 2
194,Marvel vs. Capcom 2
196,Marvel vs. Capcom 3
196,Marvel vs. Capcom 3
470,Marvel vs. Capcom: Infinite
470,Marvel vs. Capcom: Infinite
488,MechWarrior Online
488,MechWarrior Online
209,Melty Blood: Actress Again
209,Melty Blood: Actress Again
458,Melty Blood: Actress Again Current Code
458,Melty Blood: Actress Again Current Code
743,Melty Blood: Type Lumina
743,Melty Blood: Type Lumina
721,Men of War: Assault Squad 2
721,Men of War: Assault Squad 2
432,Metal Gear Online
432,Metal Gear Online
755,Microsoft Excel
755,Microsoft Excel
725,Mighty Fight Federation
725,Mighty Fight Federation
606,Million Arthur: Arcana Blood
606,Million Arthur: Arcana Blood
559,Minecraft
559,Minecraft
467,MOBA Legends
467,MOBA Legends
531,Mobile Legends: Bang Bang
531,Mobile Legends: Bang Bang
726,Mobile Suit Gundam: Extreme Vs Maxi Boost ON
726,Mobile Suit Gundam: Extreme Vs Maxi Boost ON
652,Mordhau
652,Mordhau
854,Mortal Kombat 1
854,Mortal Kombat 1
583,Mortal Kombat 11
583,Mortal Kombat 11
211,Mortal Kombat 9
211,Mortal Kombat 9
361,Mortal Kombat vs. DC Universe
361,Mortal Kombat vs. DC Universe
391,Mortal Kombat X
391,Mortal Kombat X
448,Mortal Kombat XL
448,Mortal Kombat XL
694,Multigaming
694,Multigaming
805,MultiVersus
805,MultiVersus
599,Mystery Game Tournament
599,Mystery Game Tournament
723,Mythgard
723,Mythgard
780,Naraka: Bladepoint
780,Naraka: Bladepoint
780,Naraka: Bladepoint
486,Naruto Shippuden: Ultimate Ninja Storm 4
486,Naruto Shippuden: Ultimate Ninja Storm 4
678,Naruto: Gekitou Ninja Taisen! 4
678,Naruto: Gekitou Ninja Taisen! 4
662,NASCAR Heat 4
662,NASCAR Heat 4
719,Nascar Heat 5
719,Nascar Heat 5
350,NASCAR Thunder 2002
350,NASCAR Thunder 2002
358,NASCAR Thunder 2003
358,NASCAR Thunder 2003
367,NBA 2K Online
367,NBA 2K Online
846,NBA 2K Online 2
846,NBA 2K Online 2
538,NBA 2K18
538,NBA 2K18
591,NBA 2K19
591,NBA 2K19
736,NBA 2K20
736,NBA 2K20
737,NBA 2K21
737,NBA 2K21
845,NBA 2K22
845,NBA 2K22
842,NBA 2K23
842,NBA 2K23
173,Need for Speed Carbon
173,Need for Speed Carbon
174,Need for Speed: Most Wanted
174,Need for Speed: Most Wanted
277,Need for Speed: ProStreet
277,Need for Speed: ProStreet
232,Need for Speed: Shift
232,Need for Speed: Shift
227,Need for Speed: Underground
227,Need for Speed: Underground
175,Need for Speed: Underground 2
175,Need for Speed: Underground 2
416,NHL '94
416,NHL '94
377,NHL 12
377,NHL 12
276,NHL 13
276,NHL 13
329,NHL 14
329,NHL 14
383,NHL 15
383,NHL 15
574,NHL 17
574,NHL 17
542,NHL 18
542,NHL 18
572,NHL 19
572,NHL 19
843,NHL 23
843,NHL 23
771,Ninja Legends
771,Ninja Legends
420,Nitroplus Blasterz: Heroines Infinite Duel
420,Nitroplus Blasterz: Heroines Infinite Duel
799,Nock
799,Nock
557,Old School Runescape
557,Old School Runescape
557,Old School Runescape
779,Onmyoji Arena
779,Onmyoji Arena
785,Onward
785,Onward
525,osu!
525,osu!
426,Overwatch
426,Overwatch
792,Overwatch 2
792,Overwatch 2
515,Pac-man
515,Pac-man
515,Pac-man
239,Painkiller
239,Painkiller
447,Paladins
447,Paladins
691,Panel Attack
691,Panel Attack
871,PARAVOX
871,PARAVOX
798,Pavlov
798,Pavlov
834,Penguin Paradise
834,Penguin Paradise
252,Persona 4 Arena
252,Persona 4 Arena
389,Persona 4 Arena Ultimax
389,Persona 4 Arena Ultimax
773,Pistol Whip
773,Pistol Whip
656,Playchess.com
656,Playchess.com
554,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
554,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
504,PLAYERUNKNOWN’S BATTLEGROUNDS
504,PLAYERUNKNOWN’S BATTLEGROUNDS
822,Pocket Bravery
822,Pocket Bravery
679,Pocket Rumble
679,Pocket Rumble
346,Point Blank
346,Point Blank
806,Pokémon GO
806,Pokémon GO
481,Pokémon TCG
481,Pokémon TCG
872,Pokémon TCG Pocket
872,Pokémon TCG Pocket
757,Pokemon Unite
757,Pokemon Unite
503,Pokémon VGC
503,Pokémon VGC
437,Pokkén Tournament
437,Pokkén Tournament
506,Pokkén Tournament DX
506,Pokkén Tournament DX
680,Power Instinct: Matrimelee
680,Power Instinct: Matrimelee
614,Power Rangers: Battle for the Grid
614,Power Rangers: Battle for the Grid
516,Power Rangers: Legacy Wars
516,Power Rangers: Legacy Wars
337,Pro Evolution Soccer 2008
337,Pro Evolution Soccer 2008
338,Pro Evolution Soccer 2009
338,Pro Evolution Soccer 2009
500,Pro Evolution Soccer 2013
500,Pro Evolution Soccer 2013
497,Pro Evolution Soccer 2014
497,Pro Evolution Soccer 2014
498,Pro Evolution Soccer 2015
498,Pro Evolution Soccer 2015
450,Pro Evolution Soccer 2016
450,Pro Evolution Soccer 2016
451,Pro Evolution Soccer 2017
451,Pro Evolution Soccer 2017
550,Pro Evolution Soccer 2018
550,Pro Evolution Soccer 2018
645,Pro Evolution Soccer 2019
645,Pro Evolution Soccer 2019
234,Pro Evolution Soccer 3
234,Pro Evolution Soccer 3
235,Pro Evolution Soccer 4
235,Pro Evolution Soccer 4
236,Pro Evolution Soccer 5
236,Pro Evolution Soccer 5
237,Pro Evolution Soccer 6
237,Pro Evolution Soccer 6
482,Project Cars
482,Project Cars
561,Project Cars 2
561,Project Cars 2
228,Project Gotham Racing 2
228,Project Gotham Racing 2
180,Project Gotham Racing 3
180,Project Gotham Racing 3
181,Project Gotham Racing 4
181,Project Gotham Racing 4
619,Project Justice
619,Project Justice
331,Project M
331,Project M
682,Project Plus
682,Project Plus
653,Prophecy
653,Prophecy
683,Punch Planet
683,Punch Planet
601,Puyo Puyo Champions
601,Puyo Puyo Champions
514,Puyo Puyo Tetris
514,Puyo Puyo Tetris
742,Puyo Puyo Tetris 2
742,Puyo Puyo Tetris 2
169,Quake 4
169,Quake 4
169,Quake 4
499,Quake Champions
499,Quake Champions
161,Quake II
161,Quake II
159,Quake III Arena
159,Quake III Arena
157,Quake Live
157,Quake Live
160,QuakeWorld
160,QuakeWorld
569,RaceRoom Racing Experience
569,RaceRoom Racing Experience
